City Name,total_studentsenrolled
Elizabeth City,4775
Polkton,3019
Boone,20032
Asheville,10112
Wilson,1177
Washington,1382
Belmont,1467
Greensboro,41520
Dublin,1057
Flat Rock,2399
Brevard,828
Bolivia,1553
Concord,615
Hudson,3845
Buies Creek,5964
Wilmington,29178
Charlotte,53559
Morehead City,1347
Salisbury,9467
Hickory,7014
Sanford,5154
Mufreesboro,1100
Shelby,2269
Jacksonville,3809
New Bern,2629
Thomasville,3765
Davidson,1983
Durham,29214
Greenville,28844
Tarboro,1459
Elon,7117
Fayetteville,20342
Winston-Salem,24310
Boiling Springs,2536
Dallas,5345
Jamestown,10821
Weldon,988
Dunn,43
High Point,5640
Spindale,2042
Kenansville,1202
Smithfield,4182
Banner Elk,838
Kinston,2361
Louisburg,490
Mars Hill,1049
Williamston,944
Spruce Pine,441
Marion,1048
Raleigh,65376
Statesville,3373
Wilson,1889
Troy,679
Montreat,950
Mount Olive,2536
Rocky Mount,4343
Chapel Hill,30308
Grantsboro,362
Pembroke,8262
Misenheimer,1185
Roxboro,1329
Winterville,7688
Asheboro,2548
Hamlet,2226
Ahoskie,525
Lumberton,1828
Wentworth,1922
Clinton,1492
Pinehurst,3990
Laurinburg,887
Whiteville,1271
Sylva,2259
Albemarle,2432
Wake Forest,3343
Dubson,3103
Graham,4037
Murphy,991
Henderson,2963
Swannanoa,703
Goldsboro,2701
Morganton,1792
Wilkesboro,2435
Wingate,3653
Cullowhee,12243
Mooresville,1260
Gastonia,386
Sugar Grove,64
Cary,136
Mebane,45
Wendall,62
